year,exports_pct,fdi_pct_gdp,inflation_gd,net_exports,gross_investment,real_premium,gdp_growth,unemployment rate ,population growth 
1990,,8.5633,145.6299,-35.5387,17.4913,-58.8248,1.1623,1.9,4.26
1991,,8.5633,107.4401,-33.1635,17.4913,-48.1347,7.5913,1.9,4.23
1992,,7.967666666666666,95.14322222222222,-30.788366666666665,16.895655555555553,-41.267833333333336,7.1,1.8244444444444443,3.9377777777777783
1993,16.0562,7.372033333333333,82.84634444444444,-28.413233333333334,16.30001111111111,-34.40096666666667,4.0,1.7488888888888887,3.645555555555556
1994,17.9134,6.776400000000001,70.54946666666667,-26.0381,15.704366666666665,-27.534100000000002,8.2,1.6733333333333333,3.3533333333333335
1995,21.5197,6.180766666666667,58.252588888888894,-23.66296666666667,15.108722222222221,-20.667233333333336,6.0,1.5977777777777777,3.0611111111111113
1996,23.1115,5.585133333333333,45.955711111111114,-21.287833333333335,14.513077777777777,-13.800366666666669,5.9,1.5222222222222221,2.768888888888889
1997,24.6288,4.9895000000000005,33.65883333333335,-18.9127,13.917433333333332,-6.933500000000002,4.0,1.4466666666666668,2.4766666666666666
1998,25.8193,4.393866666666668,21.361955555555568,-16.53756666666667,13.321788888888888,-0.06663333333333554,4.7,1.3711111111111112,2.1844444444444444
1999,27.0214,3.798233333333334,9.065077777777788,-14.162433333333336,12.726144444444444,6.800233333333331,12.7,1.2955555555555556,1.8922222222222222
2000,49.3049,3.2026,-3.2318,-11.7873,12.1305,13.6671,9.9936,1.22,1.6
2001,51.1798,3.5334,6.3977,-9.4122,12.4613,0.9323,7.3897,1.29,1.57
2002,54.189,2.0909,1.9931,-9.8917,11.0189,4.1885,6.2651,0.78,1.55
2003,54.2286,1.6165,3.2726,-11.6177,10.1924,6.7888,10.2837,0.66,1.52
2004,60.8184,2.2337,7.5028,-9.7148,9.6553,1.8185,9.4577,0.84,1.48
2005,61.0399,5.366,8.0167,-11.4721,12.1263,4.8943,13.3033,0.98,1.47
2006,64.6723,5.7866,6.7973,-8.0041,13.2671,3.8822,10.9434,1.15,1.49
2007,61.1366,8.5633,8.6002,-11.4269,15.559,1.6558,10.3985,1.26,1.49
2008,61.7788,6.6959,11.7884,-6.8359,13.9746,-3.8573,7.4764,0.83,1.53
2009,46.2148,7.0072,10.709299999999999,-7.026944444444444,14.677044444444444,-2.7757666666666667,0.1,0.75,1.5144444444444445
2010,54.1235,7.3185,9.630199999999999,-7.217988888888889,15.37948888888889,-1.694233333333333,6.0,0.6699999999999999,1.498888888888889
2011,55.182900000000004,7.6298,8.5511,-7.409033333333333,16.081933333333335,-0.6126999999999998,7.1,0.59,1.4833333333333334
2012,56.2423,7.9411000000000005,7.4719999999999995,-7.600077777777778,16.784377777777777,0.4688333333333339,7.3,0.51,1.4677777777777778
2013,59.6101,8.2524,6.392899999999999,-7.7911222222222225,17.486822222222223,1.5503666666666676,7.4,0.42999999999999994,1.452222222222222
2014,63.4215,8.5637,5.3138,-7.982166666666667,18.18926666666667,2.6319000000000004,7.1,0.35,1.4366666666666665
2015,61.7184,8.875,4.2347,-8.173211111111112,18.891711111111114,3.713433333333334,7.0,0.2699999999999999,1.421111111111111
2016,61.2815,9.1863,3.1555999999999997,-8.364255555555555,19.594155555555556,4.794966666666667,6.9,0.18999999999999995,1.4055555555555554
2017,56.3001,9.4976,2.0765,-8.5553,20.2966,5.8765,8.075,0.11,1.39
2018,55.4714,9.6924,3.8166,-7.4949,20.4565,4.7773,8.7762,0.12,1.25
2019,55.4469,9.985,2.7926,-4.843,21.6351,5.0046,7.9369,0.12,1.27
2020,59.9218,10.4102,-0.8243,-2.2618,23.3478,-2.7542,-3.5557,0.34,1.48
2021,72.361,9.4685,2.6457,-1.4578,22.0486,0.4327,3.0898,0.4,1.49
2022,72.2071,8.9483,3.4889,-1.4595,20.7247,1.5857,5.1299,0.23,1.34
2023,66.8927,9.351,1.0176,-0.4215,22.3007,3.9495,5.0073,0.24,1.29
2024,71.3636,9.4809,2.3538,-0.7198,22.4306,3.538,5.9751,0.25,1.23
